Test_Date,County_Code,Positive_Cases,Total_Tests
2020-07-21,36085,18,1252
2020-07-22,36005,69,4806
2020-07-22,36047,90,8776
2020-07-22,36061,89,7518
2020-07-22,36081,109,7522
2020-07-22,36085,30,1890
2020-07-23,36005,114,5276
2020-07-23,36047,72,9525
2020-07-23,36061,64,7407
2020-07-23,36081,84,8061
2020-07-23,36085,26,2065
2020-07-24,36005,80,4754
2020-07-24,36047,102,7667
2020-07-24,36061,64,7259
2020-07-24,36081,74,7014
2020-07-24,36085,20,1909
2020-07-25,36005,56,3712
2020-07-25,36047,62,6610
2020-07-25,36061,32,4953
2020-07-25,36081,63,4879
2020-07-25,36085,16,1116
2020-07-26,36005,52,3461
2020-07-26,36047,64,7056
2020-07-26,36061,57,5374
2020-07-26,36081,85,6561
2020-07-26,36085,32,1401
2020-07-27,36005,34,3651
2020-07-27,36047,57,6373
2020-07-27,36061,30,5657
2020-07-27,36081,60,5577
2020-07-27,36085,17,1571
2020-07-28,36005,59,3396
2020-07-28,36047,84,8814
2020-07-28,36061,49,6547
2020-07-28,36081,81,7120
2020-07-28,36085,29,1532
2020-07-29,36005,47,4742
2020-07-29,36047,101,9162
2020-07-29,36061,69,7384
2020-07-29,36081,74,6889
2020-07-29,36085,21,1720
2020-07-30,36005,46,3995
2020-07-30,36047,90,9098
2020-07-30,36061,59,7853
2020-07-30,36081,74,7564
2020-07-30,36085,16,1562
2020-07-31,36005,53,5254
2020-07-31,36047,109,10666
2020-07-31,36061,60,9504
2020-07-31,36081,73,9723
2020-07-31,36085,17,2229
2020-08-01,36005,50,3384
2020-08-01,36047,83,7444
2020-08-01,36061,46,6821
2020-08-01,36081,60,6642
2020-08-01,36085,24,1599
2020-08-02,36005,38,3630
2020-08-02,36047,64,6911
2020-08-02,36061,57,6700
2020-08-02,36081,65,6268
2020-08-02,36085,17,1423
2020-08-03,36005,109,7059
2020-08-03,36047,74,7512
2020-08-03,36061,56,6756
2020-08-03,36081,59,7005
2020-08-03,36085,18,1840
2020-08-04,36005,83,5303
2020-08-04,36047,75,8137
2020-08-04,36061,57,6796
2020-08-04,36081,72,7698
2020-08-04,36085,14,1493
2020-08-05,36005,75,5206
2020-08-05,36047,100,8927
2020-08-05,36061,65,7633
2020-08-05,36081,71,7812
2020-08-05,36085,23,1917
2020-08-06,36005,77,5151
2020-08-06,36047,109,8736
2020-08-06,36061,60,7424
2020-08-06,36081,84,7536
2020-08-06,36085,14,1679
2020-08-07,36005,63,4632
2020-08-07,36047,87,9199
2020-08-07,36061,61,7852
2020-08-07,36081,96,9243
2020-08-07,36085,18,2154
2020-08-08,36005,68,5261
2020-08-08,36047,69,7684
2020-08-08,36061,43,7177
2020-08-08,36081,56,7166
2020-08-08,36085,12,1395
2020-08-09,36005,38,4748
2020-08-09,36047,68,6586
2020-08-09,36061,52,6512
