Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Q24,,36081,"2,787,584","2,685,813","2,613,268","2,395,505",2250867,1568917,"-681,950",-30.30%,88
Q25,,36081,"6,495,852","6,439,116","6,198,808","6,319,652",6336824,3430519,"-2,906,305",-45.90%,26
Q26,,36081,"354,881","372,307","388,315","349,165",358637,126927,"-231,709",-64.60%,219
Q27,,36081,"7,558,619","7,587,488","7,367,252","7,162,680",7139900,3494516,"-3,645,384",-51.10%,25
Q28,,36081,"3,034,878","3,063,422","2,917,536","2,776,496",2710657,1419673,"-1,290,984",-47.60%,95
Q29,,36081,"1,724,589","1,754,047","1,676,083","1,594,236",1645315,1010692,"-634,624",-38.60%,132
Q30,,36081,"2,949,133","3,023,049","2,902,064","2,711,823",2712375,1158342,"-1,554,033",-57.30%,119
Q31,,36081,"1,540,863","1,566,789","1,588,621","1,540,365",1511187,671244,"-839,944",-55.60%,166
Q32,,36081,"3,322,709","3,196,194","3,098,965","3,279,080",3211435,2420643,"-790,792",-24.60%,44
Q33,A,36081,"2,442,484","2,442,308","2,322,903","2,250,198",2303215,1306041,"-997,174",-43.30%,104
Q34,,36081,"1,795,595","1,763,130","1,650,470","1,707,939",1737398,871986,"-865,411",-49.80%,146
Q35,,36081,"1,482,761","1,486,339","1,379,003","1,336,255",1354894,465162,"-889,732",-65.70%,192
Q36,,36081,"1,801,158","1,838,914","1,809,960","1,766,164",1769340,1040654,"-728,685",-41.20%,130
Q37,,36081,"2,296,322","2,365,307","2,361,436","2,275,447",2367075,1056201,"-1,310,875",-55.40%,127
Q38,,36081,"2,483,941","2,499,621","2,352,459","2,386,385",2478064,1399719,"-1,078,345",-43.50%,97
Q39,,36081,"1,572,111","1,578,482","1,537,028","1,498,335",1475421,813293,"-662,128",-44.90%,150
Q40,,36081,"1,509,905","1,532,433","1,467,851","1,424,131",1402891,651843,"-751,048",-53.50%,173
Q41,,36081,"2,025,413","2,136,337","2,093,471","2,113,357",2078841,760344,"-1,318,497",-63.40%,154
Q42,,36081,"303,630","303,658","299,676","293,639",294215,140038,"-154,177",-52.40%,217
Q43,,36081,"4,507,252","4,492,588","4,328,944","4,092,878",4052203,2355467,"-1,696,735",-41.90%,48
Q44SBS,9,36081,"8,893,228","9,140,232","9,008,058","8,609,302",8248771,3913694,"-4,335,077",-52.60%,20
Q46,,36081,"6,429,474","6,348,286","6,132,598","5,929,218",5816407,2812861,"-3,003,546",-51.60%,35
Q47,,36081,"2,259,562","2,364,210","2,323,082","2,401,354",2516808,1304514,"-1,212,294",-48.20%,105
Q48,,36081,"946,121","966,699","944,849","968,379",923678,729428,"-194,250",-21.00%,157
Q49,,36081,"2,879,465","2,890,423","2,727,267","2,639,098",2638599,1463649,"-1,174,950",-44.50%,91
Q50,,36081,"1,462,735","1,468,106","1,462,392","1,425,930",1452241,809766,"-642,475",-44.20%,152
Q52/53Lcl/SBS,B,36081,"6,702,720","6,768,272","6,957,716","7,313,238",7007767,4166960,"-2,840,807",-40.50%,17
Q54,,36081,"3,652,154","3,703,056","3,545,639","3,304,851",3150284,2155401,"-994,883",-31.60%,56
Q55,,36081,"2,310,378","2,281,548","2,217,379","2,090,862",1979605,1287023,"-692,582",-35.00%,108
Q56,,36081,"2,604,949","2,563,005","2,590,001","2,506,877",2279903,1729611,"-550,293",-24.10%,71
Q58,,36081,"9,587,051","9,678,563","9,467,869","9,179,829",9131904,5942436,"-3,189,468",-34.90%,7
Q59,,36081,"2,184,498","2,252,528","2,230,581","2,127,493",2131582,1288347,"-843,236",-39.60%,107
Q60,,36081,"4,729,307","4,691,972","4,735,158","4,752,023",4584957,3157669,"-1,427,288",-31.10%,31
Q64,,36081,"2,964,103","2,867,113","2,680,926","2,545,121",2493440,879775,"-1,613,665",-64.70%,145
Q65,,36081,"6,442,981","6,411,460","6,150,259","6,246,856",6456678,3812725,"-2,643,953",-40.90%,24
Q66,,36081,"4,488,144","4,458,005","4,435,992","4,531,876",4383038,3217843,"-1,165,194",-26.60%,30
Q67,,36081,"748,656","729,549","657,983","646,473",681818,410093,"-271,725",-39.90%,197
Q69,,36081,"2,896,435","2,893,941","2,837,227","2,932,729",3011893,1744581,"-1,267,312",-42.10%,70
Q70SBS,A,36081,"1,389,764","1,421,864","1,578,240","1,704,485",1944491,548171,"-1,396,321",-71.80%,187
Q72,,36081,"1,870,222","1,938,981","1,999,118","2,007,540",2037806,1378048,"-659,758",-32.40%,98
Q76,,36081,"1,599,107","1,648,960","1,633,475","1,543,249",1540602,854344,"-686,259",-44.50%,147
