Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"Newkirk Plaza (B,Q)",36047,B,"3,432,907","3,315,748","3,356,199","3,258,207",3252504,1356510,"-1,895,994",-58.30%,149
"Norwood Av (J,Z)",36047,B,"1,159,274","1,146,658","1,065,073","966,728",948571,454457,"-494,114",-52.10%,357
Nostrand Av (3),36047,B,"1,386,067","1,358,853","1,295,175","1,250,715",1370372,512753,"-857,619",-62.60%,334
"Nostrand Av (A,C)",36047,B,"5,762,163","5,861,658","5,823,419","5,609,408",5608232,2150476,"-3,457,756",-61.70%,74
Ocean Pkwy (Q),36047,B,"1,022,215","1,016,458","1,022,378","1,018,695",1033340,462998,"-570,342",-55.20%,355
Park Pl (S),36047,B,"602,858","576,122","575,188","537,340",519984,214950,"-305,034",-58.70%,411
Parkside Av (Q),36047,B,"1,692,567","1,783,716","1,953,704","1,979,647",1955051,861896,"-1,093,155",-55.90%,235
Pennsylvania Av (3),36047,B,"2,111,790","753,493","1,054,654","1,279,685",1360708,662596,"-698,112",-51.30%,298
"President St (2,5)",36047,B,"1,243,976","1,226,582","1,227,134","1,197,019",1037219,443229,"-593,990",-57.30%,363
Prospect Av (R),36047,B,"1,785,990","1,758,711","961,733","1,638,002",1780893,676624,"-1,104,269",-62.00%,295
"Prospect Park (B,Q,S)",36047,B,"3,327,301","3,272,810","3,421,790","3,289,464",3323334,1261501,"-2,061,833",-62.00%,164
Ralph Av (C),36047,B,"1,867,793","1,863,036","1,894,817","1,850,375",1829126,818101,"-1,011,025",-55.30%,244
Rockaway Av (3),36047,B,"526,505","1,534,978","1,685,468","1,412,271",1451431,722986,"-728,445",-50.20%,276
Rockaway Av (C),36047,B,"1,721,297","1,786,802","1,794,365","1,790,683",1787343,781385,"-1,005,958",-56.30%,261
Saratoga Av (3),36047,B,"2,442,282","1,208,956","1,702,107","1,535,733",1556357,786160,"-770,197",-49.50%,259
"Sheepshead Bay (B,Q)",36047,B,"4,296,566","4,322,837","4,297,325","4,183,545",4169796,1772098,"-2,397,698",-57.50%,101
Shepherd Av (C),36047,B,"1,059,106","1,059,144","1,038,180","990,387",977012,449144,"-527,868",-54.00%,361
"Smith-9 Sts (F,G)",36047,B,"1,636,221","1,533,167","1,484,326","1,466,151",1435824,609725,"-826,099",-57.50%,309
"Sterling St (2,5)",36047,B,"1,822,524","1,805,238","1,787,994","1,753,125",1654809,745895,"-908,914",-54.90%,267
Sutter Av (L),36047,B,"1,453,567","1,435,112","1,394,283","1,246,958",1047762,483645,"-564,117",-53.80%,343
